기준_년분기_코드,행정동코드,통합_카테고리,sales_sum,sales_mean,sales_count,store_count,pop_sum,pop_mean,pop_count,행정동명
20251,11110680,오락/유흥,59578464,29789232.0,2,8,4956177,4956177.0,1,창신2동
20251,11110680,의료/약국,1765524923,441381230.75,4,9,4956177,4956177.0,1,창신2동
20251,11110680,의류/패션,122614489,122614489.0,1,19,4956177,4956177.0,1,창신2동
20251,11110680,주점,372807046,372807046.0,1,13,4956177,4956177.0,1,창신2동
20251,11110680,카페,113349245,113349245.0,1,0,4956177,4956177.0,1,창신2동
20251,11110680,패스트푸드/치킨,274367495,274367495.0,1,0,4956177,4956177.0,1,창신2동
20251,11110680,한식,4404675967,4404675967.0,1,69,4956177,4956177.0,1,창신2동
20251,11110690,미용실,112418493,112418493.0,1,14,947256,947256.0,1,창신3동
20251,11110690,식품 소매,37302752,18651376.0,2,3,947256,947256.0,1,창신3동
20251,11110690,카페,43715698,43715698.0,1,0,947256,947256.0,1,창신3동
20251,11110690,패스트푸드/치킨,31938432,31938432.0,1,0,947256,947256.0,1,창신3동
20251,11110690,편의점,107225155,107225155.0,1,9,947256,947256.0,1,창신3동
20251,11110690,한식,96792985,96792985.0,1,10,947256,947256.0,1,창신3동
20251,11110700,B2B 서비스,1638668,1638668.0,1,44,2278647,2278647.0,1,숭인1동
20251,11110700,미용실,84856780,84856780.0,1,16,2278647,2278647.0,1,숭인1동
20251,11110700,분식/간식,51064840,51064840.0,1,12,2278647,2278647.0,1,숭인1동
20251,11110700,뷰티/화장품,101428582,50714291.0,2,5,2278647,2278647.0,1,숭인1동
20251,11110700,식품 소매,272115862,272115862.0,1,2,2278647,2278647.0,1,숭인1동
20251,11110700,의료/약국,1057648794,264412198.5,4,16,2278647,2278647.0,1,숭인1동
20251,11110700,의류/패션,234802098,234802098.0,1,13,2278647,2278647.0,1,숭인1동
20251,11110700,일반학원,155418586,155418586.0,1,8,2278647,2278647.0,1,숭인1동
20251,11110700,전자/통신,540000000,540000000.0,1,3,2278647,2278647.0,1,숭인1동
20251,11110700,주점,73818174,73818174.0,1,2,2278647,2278647.0,1,숭인1동
20251,11110700,카페,33191563,33191563.0,1,0,2278647,2278647.0,1,숭인1동
20251,11110700,패스트푸드/치킨,40763793,20381896.5,2,0,2278647,2278647.0,1,숭인1동
20251,11110700,편의점,266171772,266171772.0,1,13,2278647,2278647.0,1,숭인1동
20251,11110700,한식,846932397,846932397.0,1,21,2278647,2278647.0,1,숭인1동
20251,11110710,미용실,91184961,91184961.0,1,23,5496846,5496846.0,1,숭인2동
20251,11110710,분식/간식,810058115,405029057.5,2,40,5496846,5496846.0,1,숭인2동
20251,11110710,뷰티/화장품,53105810,26552905.0,2,18,5496846,5496846.0,1,숭인2동
20251,11110710,생활용품 소매,416873059,69478843.16666667,6,46,5496846,5496846.0,1,숭인2동
20251,11110710,수리/세탁,19918267,19918267.0,1,18,5496846,5496846.0,1,숭인2동
20251,11110710,숙박,223987944,223987944.0,1,62,5496846,5496846.0,1,숭인2동
20251,11110710,스포츠/레저,23736002,23736002.0,1,13,5496846,5496846.0,1,숭인2동
20251,11110710,식품 소매,2919010173,583802034.6,5,24,5496846,5496846.0,1,숭인2동
20251,11110710,오락/유흥,232119754,77373251.33333333,3,14,5496846,5496846.0,1,숭인2동
20251,11110710,의료/약국,5343561767,1781187255.6666667,3,17,5496846,5496846.0,1,숭인2동
20251,11110710,의류/패션,3388101529,847025382.25,4,153,5496846,5496846.0,1,숭인2동
20251,11110710,일식,278673177,278673177.0,1,4,5496846,5496846.0,1,숭인2동
20251,11110710,전자/통신,85358776,42679388.0,2,11,5496846,5496846.0,1,숭인2동
20251,11110710,주점,658190960,658190960.0,1,28,5496846,5496846.0,1,숭인2동
20251,11110710,중식,202792278,202792278.0,1,8,5496846,5496846.0,1,숭인2동
20251,11110710,카페,356058128,356058128.0,1,0,5496846,5496846.0,1,숭인2동
20251,11110710,패스트푸드/치킨,365773906,182886953.0,2,0,5496846,5496846.0,1,숭인2동
20251,11110710,편의점,2956515611,2956515611.0,1,40,5496846,5496846.0,1,숭인2동
20251,11110710,한식,5913801887,5913801887.0,1,92,5496846,5496846.0,1,숭인2동
20251,11140520,미용실,258110114,258110114.0,1,34,2518864,2518864.0,1,소공동
20251,11140520,분식/간식,4595937406,2297968703.0,2,97,2518864,2518864.0,1,소공동
20251,11140520,뷰티/화장품,356842982,118947660.66666667,3,49,2518864,2518864.0,1,소공동
20251,11140520,생활용품 소매,24855482608,8285160869.333333,3,177,2518864,2518864.0,1,소공동
20251,11140520,수리/세탁,6746637,6746637.0,1,33,2518864,2518864.0,1,소공동
20251,11140520,숙박,10918986458,10918986458.0,1,34,2518864,2518864.0,1,소공동
20251,11140520,스포츠 강습,358470011,358470011.0,1,0,2518864,2518864.0,1,소공동
