행정동명,통합카테고리,기준_년분기_코드,성장확률_pct,업종내_순위,업종내_전체동수,상위_퍼센트,등급
장충동,수리/세탁,20253,54.7,233,382,61.0,C
장충동,숙박,20253,45.2,120,194,61.9,C
장충동,식품 소매,20253,68.1,38,422,9.0,A
장충동,양식/기타외식,20253,55.4,85,241,35.3,B
장충동,오락/유흥,20253,25.6,344,361,95.3,D
장충동,의류/패션,20253,47.7,291,402,72.4,C
장충동,일식,20253,63.6,22,279,7.9,A
장충동,주점,20253,69.4,27,398,6.8,A
장충동,중식,20253,58.1,81,358,22.6,A
장충동,카페,20253,32.1,341,419,81.4,D
장충동,패스트푸드/치킨,20253,71.0,17,409,4.2,A
장충동,편의점,20253,60.2,32,405,7.9,A
장충동,한식,20253,84.1,11,421,2.6,A
광희동,B2B 서비스,20253,51.4,129,368,35.1,B
광희동,미용실,20253,35.9,294,419,70.2,C
광희동,분식/간식,20253,49.0,219,415,52.8,C
광희동,뷰티/화장품,20253,79.4,15,394,3.8,A
광희동,생활용품 소매,20253,41.9,264,405,65.2,C
광희동,수리/세탁,20253,82.4,26,382,6.8,A
광희동,숙박,20253,65.6,32,194,16.5,A
광희동,스포츠/레저,20253,51.9,144,395,36.5,B
광희동,식품 소매,20253,28.8,392,422,92.9,D
광희동,양식/기타외식,20253,46.0,152,241,63.1,C
광희동,오락/유흥,20253,53.3,126,361,34.9,B
광희동,의료/약국,20253,47.8,255,413,61.7,C
광희동,의류/패션,20253,61.7,183,402,45.5,B
광희동,일식,20253,47.3,123,279,44.1,B
광희동,전자/통신,20253,41.2,183,309,59.2,C
광희동,주점,20253,48.2,194,398,48.7,B
광희동,중식,20253,44.9,230,358,64.2,C
광희동,카페,20253,42.6,226,419,53.9,C
광희동,패스트푸드/치킨,20253,43.0,228,409,55.7,C
광희동,편의점,20253,48.2,134,405,33.1,B
광희동,한식,20253,62.4,119,421,28.3,B
을지로동,B2B 서비스,20253,10.2,367,368,99.7,D
을지로동,미용실,20253,34.5,314,419,74.9,C
을지로동,분식/간식,20253,57.2,113,415,27.2,B
을지로동,뷰티/화장품,20253,47.2,212,394,53.8,C
을지로동,생활용품 소매,20253,39.7,275,405,67.9,C
을지로동,수리/세탁,20253,56.9,218,382,57.1,C
을지로동,숙박,20253,48.2,106,194,54.6,C
을지로동,스포츠/레저,20253,35.9,328,395,83.0,D
을지로동,식품 소매,20253,18.4,421,422,99.8,D
을지로동,양식/기타외식,20253,44.4,162,241,67.2,C
을지로동,오락/유흥,20253,55.4,110,361,30.5,B
을지로동,의료/약국,20253,41.5,314,413,76.0,D
을지로동,의류/패션,20253,66.5,134,402,33.3,B
을지로동,일식,20253,40.0,186,279,66.7,C
을지로동,전자/통신,20253,40.0,193,309,62.5,C
을지로동,주점,20253,44.6,236,398,59.3,C
을지로동,중식,20253,60.8,59,358,16.5,A
을지로동,카페,20253,49.2,141,419,33.7,B
을지로동,패스트푸드/치킨,20253,40.7,259,409,63.3,C
을지로동,편의점,20253,47.3,149,405,36.8,B
을지로동,한식,20253,73.5,47,421,11.2,A
신당동,B2B 서비스,20253,80.1,7,368,1.9,A
신당동,미용실,20253,36.9,279,419,66.6,C
신당동,분식/간식,20253,54.9,149,415,35.9,B
신당동,뷰티/화장품,20253,61.3,110,394,27.9,B
신당동,생활용품 소매,20253,30.0,324,405,80.0,D
신당동,수리/세탁,20253,45.5,276,382,72.3,C
신당동,숙박,20253,45.9,114,194,58.8,C
신당동,식품 소매,20253,58.8,108,422,25.6,B
신당동,양식/기타외식,20253,56.0,82,241,34.0,B
신당동,오락/유흥,20253,50.1,162,361,44.9,B
신당동,의료/약국,20253,44.3,290,413,70.2,C
신당동,의류/패션,20253,55.9,230,402,57.2,C
신당동,일반학원,20253,80.2,5,397,1.3,A
신당동,일식,20253,62.5,26,279,9.3,A
신당동,전자/통신,20253,71.9,49,309,15.9,A
신당동,주점,20253,54.1,132,398,33.2,B
신당동,중식,20253,55.7,113,358,31.6,B
신당동,카페,20253,53.8,101,419,24.1,A
신당동,패스트푸드/치킨,20253,59.7,61,409,14.9,A
신당동,편의점,20253,55.4,61,405,15.1,A
신당동,한식,20253,69.8,64,421,15.2,A
다산동,B2B 서비스,20253,29.6,297,368,80.7,D
다산동,미용실,20253,55.7,70,419,16.7,A
다산동,분식/간식,20253,58.5,95,415,22.9,A
다산동,뷰티/화장품,20253,67.6,78,394,19.8,A
다산동,생활용품 소매,20253,52.6,184,405,45.4,B
다산동,수리/세탁,20253,90.5,2,382,0.5,A
다산동,숙박,20253,55.3,68,194,35.1,B
다산동,스포츠/레저,20253,56.0,106,395,26.8,B
다산동,식품 소매,20253,69.8,29,422,6.9,A
다산동,양식/기타외식,20253,55.3,87,241,36.1,B
다산동,예술학원,20253,62.1,56,378,14.8,A
다산동,오락/유흥,20253,53.8,122,361,33.8,B
다산동,의료/약국,20253,54.9,178,413,43.1,B
다산동,의류/패션,20253,61.7,182,402,45.3,B
다산동,일반학원,20253,47.7,203,397,51.1,C
다산동,일식,20253,47.9,115,279,41.2,B
다산동,전자/통신,20253,22.1,269,309,87.1,D
다산동,주점,20253,45.3,227,398,57.0,C
다산동,중식,20253,50.7,176,358,49.2,B
다산동,카페,20253,64.8,47,419,11.2,A
다산동,패스트푸드/치킨,20253,51.8,130,409,31.8,B
다산동,편의점,20253,51.3,92,405,22.7,A
다산동,한식,20253,66.5,86,421,20.4,A
약수동,B2B 서비스,20253,57.1,94,368,25.5,B
약수동,미용실,20253,41.7,212,419,50.6,C
약수동,분식/간식,20253,45.8,261,415,62.9,C
약수동,뷰티/화장품,20253,22.5,371,394,94.2,D
약수동,생활용품 소매,20253,51.9,190,405,46.9,B
약수동,스포츠/레저,20253,36.8,322,395,81.5,D
약수동,식품 소매,20253,50.3,201,422,47.6,B
약수동,예술학원,20253,38.7,255,378,67.5,C
